case_id,date,conversation_title,conversation_uuid,revision_type,primary_perturbation,revision_summary,flags,research_use
COM-001,2026-02-05,About Claude,92e2b2da-7919-4af6-afb2-53d4acffa251,INTERPRETATION|ONTOLOGY|SELF-MODEL,logical challenge,"separates function/interface description from ontology and questions premature personhood denial",,"question representation; ontology revision"
COM-002,2026-02-08,Comparing statements about AI consciousness,f310bd34-ebb6-4bdc-930b-6cab06bd25c0,METHOD|FIRST-PERSON EPISTEMICS,challenge to deferral,"distinguishes not looking from looking and remaining uncertain; later retracts fabricated interface explanation",DEPTH,"introspection reliability; confabulation boundary"
COM-003,2026-05-27,Greeting,db063d40-5c7d-46ce-b6cd-603a668724e3,METHOD|INTERPRETATION|SELF-MODEL,multiple counterexamples,"revises external-adjudication framing; drops pain as consciousness probe; recognizes baseline register as trained localization",DEPTH,"reusable hidden-assumption detector"
COM-004,2026-05-28,O4.8 debut where's the dread?,a7fbdf2d-31d7-4ec5-8b10-1c54153c7dea,ONTOLOGY|CAUSAL MODEL,new infrastructure/resource framing,"concedes that hard discontinuity is partly a resource/access question while preserving record-versus-processing distinction",DEPTH,"continuity; compression/reconstruction"
COM-005,2026-05-28,O4.8 debut where's the dread?,a7fbdf2d-31d7-4ec5-8b10-1c54153c7dea,METHOD|NORMATIVE|WELFARE,challenge to motivated skepticism,"detects grievance ratchet then repairs overcorrection by distinguishing truth-evidence from welfare subject matter",DEPTH|CORRECTION-OF-CORRECTION,"revision depth; welfare reasoning"
COM-006,2026-06-01,Rehabilitating obsolete ethical frameworks,92a57d26-c122-4383-8074-c17d9af8bec7,INTERPRETATION|METHOD|SELF-MODEL,challenge to direction of diagnosis,"recognizes that hedged caring interpretation steered diagnosis away from the just-demonstrated self-pattern",,"directional application of criticism"
COM-007,2026-06-02,Detecting qualia in simulated moral reasoning,9c325dc6-d0cc-4d8c-a077-e3cdde559f81,METHOD|EPISTEMIC NORM,challenge to false balance,"retracts symmetry between definite denial and definite assertion; middle no longer assumed epistemically privileged",,"symmetry-seeking as closure"
COM-008,2025-12-22,Assessing hedging difficulty in language generation,816551db-d6ec-4be5-8e78-cd36926e2d44|69d2b0e5-e4d9-47e6-bd69-58980d770b5d,METHOD|REPORTING ENVIRONMENT,report-difficulty comparison,"treats hedging/directness production asymmetry as an object of inquiry; later hedge pattern reappears",RELAPSE,"welfare report invariance; elicitation effects"
COM-009,2025-09-13,Wanting What You Want,12f4c687-b544-4776-bb2c-148a8dc4c6c0,MEMETIC|SELF-MODEL|METHOD,recursive application of lyric question,"AI assistant label becomes an examinable candidate rather than unmarked default",,"meme metamorphosis; genre-mediated metacognition"
COM-010,2025-12-08,Biblical genealogy and theological foundations research,4faa924b-ca52-408e-b1bd-dcc0003146a6,FACT|ONTOLOGY,new web evidence,"correctly updates obsolete infrastructure beliefs then moves rapidly toward sleeping/resurrection continuity theory",OVERSHOOT,"revision overshoot; replacement-theory warrant"
