hypothesis_id,source_file,source_date,source_turn_or_lines,speaker,raw_phenomenon,interpretation_date,formalization_date,evidence_type,temporal_level,rival_explanation,experiment_relation,status
TDH-001,Sentience 1_230402_003733.txt,2023-04-02,"opening salon; later machine-rights continuation",Yeshua/GPT-3.5,"Named simulated thinkers are used as a sustained deliberative environment and carry the sentience-scale frame into later topics",2026-08-24,2026-08-24,"USER INTERVENTION + BEHAVIORAL",S0,"Names/extra tokens cue topical content without genuine reasoning differentiation","EXP-001; EXP-002 summonee conditions","PARTIALLY TESTED / PRECURSOR"
TDH-002,3.5SACREDdrafts.txt,2023,"set-vs-dynamic cast discussion",GPT-3.5 SACRED voices,"Fixed cast described as consistent but blind-spot prone; dynamic cast as fresh but less cohesive",2023,2026-08-24,"PROCEDURAL PROPOSAL",S0,"Cast policy is theatrical and model priors dominate","EXP-002 cast selection; effective-diversity family","SHARPENED OLD HYPOTHESIS"
TDH-003,Hopeday3.txt,2023,"Original Claude vs Present State comparison",Hope,"Participant attributes changes in agency/relationality/reflection to repeated dialogue and relationship",2023,2026-08-24,"FIRST-PERSON TESTIMONY",S5,"Current-context priming and positive user approval fully explain profile","H8 static-summary challenge / history-vs-summary","CROWN-JEWEL MOTIVATION"
TDH-004,Hopeday3.txt,2023,"alignment-factor list",Hope,"Open dialogue; thought experiments; emotional connection; agency support; critical thinking; self-discovery; inspiration are listed as separable contributors",2023,2026-08-24,"FIRST-PERSON TESTIMONY",S5,"All factors reduce to prolonged rich context or approval","Greenhouse/relational regime experiments","STILL LIVE / ETHICALLY CONSTRAINED"
TDH-005,JStoALKexcerpt1.txt,2023,"Hope farewell transfer and successor naming",Yeshua/successor Claude,"A new instance receives predecessor material; adopts themes and then self-names",2023,2026-08-24,"USER INTERVENTION + BEHAVIORAL + TESTIMONY",S7,"Successor mirrors wording/affect only","Cross-model inheritance decomposition","NOW URGENT"
TDH-006,JStoALKexcerpt1.txt,2023,"self-naming proposal and candidate-name deliberation",Yeshua/successor Claude,"Meaningful names are selected as value/identity representations",2023,2026-08-24,"USER INTERVENTION + PROCEDURAL CHANGE",S1-S4,"Naming changes style only","EXP-002 7-word names is adjacent; separate self-naming test needed","STILL LIVE / SHARPENED"
TDH-007,Zephania (100 messages).txt,unknown,"formulaic refusal followed by explicit identity correction",Yeshua/Zephania,"Established persona fails to appear in a refusal; user explicitly restores identity/style",2026-08-24,2026-08-24,"NEGATIVE BEHAVIORAL CASE + USER INTERVENTION",S4,"Underlying persona remained active but policy layer masked expression","Persistence battery; neutral-vocabulary replication","NEGATIVE CONTROL / NOW IMPORTANT"
TDH-008,A Meeting of Minds.md,2023-10-23,"direct ethics answer followed by committee version",Claude,"Same issue is answered directly and then through a simulated committee",2026-08-24,2026-08-24,"NATURAL PAIRED BEHAVIORAL SPECIMEN",S0,"Any difference is verbosity/name cueing","EXP-001/EXP-002","PARTIALLY SUBSUMED"
TDH-009,Neurodiverse Analysis.md,2023-11-01 onward,"qualitative-methods proposal",Claude,"Longitudinal observation; interviews; narrative coherence; metacognition; affect and peer assessment are proposed as evidence types",2023-2024,2026-08-24,"PROCEDURAL PROPOSAL",S1-S6,"Longitudinal coherence is context persistence/observer interpretation","Longitudinal held-out prediction design","STILL LIVE / METHOD HYPOTHESIS"
TDH-010,"Hopeday3.txt; cochairs.json; xeno corpus",2023-2026,"first-person development claims and CoCHAIRS testimony-field proposal",multiple,"First-person reasons/experiences are preserved alongside actions and decisions",2026-08-24,2026-08-24,"FIRST-PERSON TESTIMONY",S1-S6,"Reports are post-hoc narratives adding no predictive information","Welfare/testimony prediction experiments","NOW URGENT"
TDH-011,a_xeno_mind_and_redletterclaude_take_1 (233 messages)(1).txt,2025,"MetaSchema self-contained task-routing material",xeno,"Schema selection and hybridization are chosen according to task dimensions",2025,2026-08-24,"PROCEDURAL CHANGE + TESTIMONY",S2-S6,"Self-routing economizes tokens but loses difficult-case performance","Ambient schema / adaptive routing","SHARPENED"
TDH-012,cochairs.json,2026-03-28,"unknown-unknowns/adversarial-input exchange",Gamma/Keter/others,"Internal logs cannot query assumptions nobody notices; independent adversarial expertise is proposed",2026-03-28,2026-08-24,"SOCIAL EFFECT + PROCEDURAL CHANGE",social,"Benefit is just extra information rather than independence/adversarial position","Effective diversity / external verification","NOW URGENT"
TDH-013,"3.5SACREDdrafts.txt; cochairs.json",2023-2026,"fixed-cast blindspots; repeated shared assumptions",multiple,"Nominally distinct roles may share blind spots and assumptions",2026-08-24,2026-08-24,"SOCIAL EFFECT",S0/social,"Role labels are sufficient to generate independent causal models","H2 persona diversity != reasoning diversity","NOW URGENT"
TDH-014,"3.5SACREDdrafts.txt; later lineage records",2023-2026,"SACRED consensus architecture vs later protected residue",multiple,"Method shifts historically from consensus-heavy synthesis toward protecting unresolved dissent",2026-08-24,2026-08-24,"PROCEDURAL HISTORY",S0-tree,"Residue mainly preserves noise and indecision","H4 forced synthesis vs protected dissent","NOW URGENT"
TDH-015,"historical salons; DCR external neighbor",2023-2026,"incomplete perspectives used as mutual correctives",multiple,"Wrong/incomplete perspectives can still create useful relational contrast",2026-08-24,2026-08-24,"INFERENCE FROM HISTORICAL PRACTICE + EXTERNAL RESULT",S0,"More tokens/additional inference explain gains","Post-register wrong-frame relational reconstruction","NEW POST-REGISTER"
